ind	Q	Pop	Batch	Location	Grp	Type	grp	Q_relative
SV0512a-001	0.0844	SV	C	SV	SV	SV	SV	0.0878111053669962
SV0512a-002	0.1413	SV	C	SV	SV	SV	SV	0.1478429676207759
SV0512a-003	0.1623	SV	C	SV	SV	SV	SV	0.16999883945433253
SV0512a-005	0.1302	SV	C	SV	SV	SV	SV	0.13613200679446738
SV0512a-006	0.1959	SV	C	SV	SV	SV	SV	0.20544823438802318
SV0512a-007	0.4538	SV	C	SV	SV	SV	SV	0.4775434413344165
SV0512a-008	0.2587	SV	C	SV	SV	SV	SV	0.2717048415855164
SV0512a-009	0.0644	SV	C	SV	SV	SV	SV	0.06671027504932318
SV0512a-010	0.2049	SV	C	SV	SV	SV	SV	0.21494360803097604
SV0512a-011	0.5627	SV	C	SV	SV	SV	SV	0.592437462414146
SV0512a-012	0.2282	SV	C	SV	SV	SV	SV	0.23952607535106507
SV0512a-013	0.0066	SV	C	SV	SV	SV	SV	0.00572887543124822
SV0512a-014	0.1584	SV	C	SV	SV	SV	SV	0.16588417754238632
SV0512a-015	0.1173	SV	C	SV	SV	SV	SV	0.12252197123956828
SV0512a-016	0.1993	SV	C	SV	SV	SV	SV	0.20903537554202758
SV0512a-017	0.1548	SV	C	SV	SV	SV	SV	0.16208602808520514
SV0512a-018	0.3182	SV	C	SV	SV	SV	SV	0.33447981178059355
SV0512a-019	0.1989	SV	C	SV	SV	SV	SV	0.20861335893567412
SV0512a-020	0.1448	SV	C	SV	SV	SV	SV	0.15153561292636866
SV0512a-021	0.1299	SV	C	SV	SV	SV	SV	0.13581549433970225
SV0512a-022	0.2503	SV	C	SV	SV	SV	SV	0.26284249285209377
SV0512a-023	0.2548	SV	C	SV	SV	SV	SV	0.2675901796735702
SV0512a-024	0.1756	SV	C	SV	SV	SV	SV	0.18403089161558508
SV0512a-025	0.1857	SV	C	SV	SV	SV	SV	0.19468681092600995
SV1013a-002	0.0627	SV	C	SV	SV	SV	SV	0.064916704472321
SV1013a-003	0.0404	SV	C	SV	SV	SV	SV	0.04138927866811559
SV1013a-004	0.2864	SV	C	SV	SV	SV	SV	0.3009294915754935
SV1013a-005	0.2472	SV	C	SV	SV	SV	SV	0.25957186415285444
