sample_id,pop_id
BAK0423_001s,3
BAK0423_002s,3
BAK0423_003s,3
BAK0423_004s,3
BAK0423_005s,3
BAK0423_006s,3
BAK0423_007s,3
BAK0423_008s,3
BAK0423_009s,3
BAK0423_010s,3
BAK0423_011s,3
BAK0423_012s,3
BAK0423_013s,3
BAK0423_014s,3
BAK0423_015s,3
BAK0423_016s,3
BAK0423_018s,3
BAK0423_019s,3
BAK0423_020s,3
BAK0423_021s,3
BAK0423_022s,3
BAK0423_023s,3
BAK0423_024s,3
BAK0423_025s,3
BAK0423_026s,3
BAK0423_027s,3
BAK0423_028s,3
BAK0423_029s,3
BAK0423_030s,3
BAK0423_031s,3
BAK0423_032s,3
BAK0423_033s,3
BAK0423_034s,3
BAK0423_035s,3
BAK0423_036s,3
BAK0423_037s,3
BAK0423_038s,3
BAK0423_039s,3
BAK0423_040s,3
BAK0423_041s,3
BAK0423_042s,3
BAK0423_043s,3
BAK0423_044s,3
BAK0423_045s,3
BAK0423_046s,3
BAK0423_047s,3
BAK0423_048s,3
BAK0423_049s,3
BAK0423_050s,3
BAK0423_051s,3
BAK0423_052s,3
BAK0423_053s,3
BAK0423_054s,3
BAK0423_055s,3
Cv5785_01,3
Cv5785_02,3
Cv5785_03,3
Cv5785_04,3
Cv5785_05,3
Cv5785_06,3
Cv5785_07,3
Cv5785_08,3
Cv5785_09,3
Cv5785_10,3
Cv5785_11,3
Cv5785_12,3
Cv5785_13,3
Cv5785_14,3
Cv5785_15,3
Cv5785_16,3
Cv5785_17,3
Cv5785_18,3
Cv5785_19,3
Cv5785_20,3
Cv5785_21,3
Cv5785_22,3
Cv5785_23,3
Cv5785_24,3
Cv5785_25,3
Cv5785_26,3
Cv5785_27,3
Cv5785_28,3
Cv5785_29,3
Cv5785_30,3
Cv5786_01,2
Cv5786_02,2
Cv5786_03,2
Cv5786_04,2
Cv5786_05,2
Cv5786_06,2
Cv5786_07,2
Cv5786_08,2
Cv5786_09,2
Cv5786_10,2
Cv5786_11,2
Cv5786_12,2
Cv5786_13,2
Cv5786_14,2
Cv5786_15,2
Cv5786_16,2
Cv5786_17,2
Cv5786_18,2
Cv5786_19,2
Cv5786_20,2
Cv5786_21,2
Cv5786_22,2
Cv5786_23,2
Cv5786_24,2
Cv5786_25,2
Cv5786_26,2
Cv5786_27,2
Cv5786_28,2
Cv5786_29,2
Cv5786_30,2
FI1012_001,2
FI1012_002,2
FI1012_003,2
FI1012_004,2
FI1012_005,2
FI1012_006,2
FI1012_007,2
FI1012_008,2
FI1012_009,2
FI1012_010,2
FI1012_011,2
FI1012_012,2
FI1012_013,2
FI1012_014,2
FI1012_015,2
FI1012_016,2
FI1012_017,2
FI1012_019,2
FI1012_020,2
FI1012_021,2
FIS1013a_001,2
FIS1013a_002,2
FIS1013a_003,2
FIS1013a_004,2
FIS1013a_005,2
FIS1013a_006,2
FIS1013a_007,2
FIS1013a_008,2
FIS1013a_009,2
FIS1013a_010,2
FIS1013a_011,2
FIS1013a_012,2
FIS1013a_013,2
FIS1013a_014,2
FIS1013a_015,2
FIS1013a_016,2
FIS1013a_017,2
FIS1013a_018,2
FIS1013a_019,2
FIS1013a_020,2
FIS1013a_021,2
FIS1013a_022,2
FIS1013a_023,2
FIS1013a_024,2
FIS1013a_025,2
FIS1013a_026,2
FIS1013a_027,2
FIS1013a_028,2
FIS1013a_029,2
FIS1013a_030,2
GOO0423_001s,3
GOO0423_002s,3
GOO0423_003s,3
GOO0423_004s,3
GOO0423_006s,3
GOO0423_007s,3
GOO0423_008s,3
GOO0423_009s,3
GOO0423_010s,3
GOO0423_011s,3
GOO0423_012s,3
GOO0423_013s,3
GOO0423_014s,3
GOO0423_015s,3
GOO0423_016s,3
GOO0423_018s,3
GOO0423_019s,3
GOO0423_020s,3
GOO0423_021s,3
GOO0423_022s,3
GOO0423_023s,3
GOO0423_024s,3
GOO0423_025s,3
GOO0423_026s,3
GOO0423_027s,3
GOO0423_028s,3
GOO0423_029s,3
GOO0423_030s,3
GOO0423_031s,3
GOO0423_032s,3
GOO0423_033s,3
GOO0423_034s,3
GOO0423_035s,3
GOO0423_036s,3
