sample_id,pop_id
HH1013a_003,1
HH1013a_009,1
HH1013a_010,1
HH1013a_017,1
HH1013s_002,1
HH1013s_003,1
HH1013s_004,1
HH1013s_005,1
HH1013s_006,1
HH1013s_007,1
HH1013s_009,1
HH1013s_010,1
HH1013s_013,1
HH1013s_014,1
HH1013s_016,1
HH1013s_018,1
HH1013s_019,1
HH1013s_020,1
HH1013s_021,1
HH1013s_022,1
HH1013s_024,1
HH1013s_028,1
HH1013s_029,1
HH1013s_030,1
HH1013s_031,1
HH1013s_033,1
HRP22_001,1
HRP22_002,1
HRP22_003,1
HRP22_004,1
HRP22_005,1
HRP22_006,1
HRP22_007,1
HRP22_008,1
HRP22_009,1
HRP22_010,1
HRP22_011,1
HRP22_012,1
HRP22_013,1
HRP22_014,1
HRP22_016,1
HRP22_017,1
HRP22_018,1
HRP22_019,1
HRP22_020,1
HRP22_021,1
HRP22_022,1
HRP22_023,1
HRP22_024,1
HRP22_026,1
Cv5786_01,2
Cv5786_02,2
Cv5786_03,2
Cv5786_04,2
Cv5786_05,2
Cv5786_06,2
Cv5786_07,2
Cv5786_08,2
Cv5786_09,2
Cv5786_10,2
Cv5786_11,2
Cv5786_12,2
Cv5786_13,2
Cv5786_14,2
Cv5786_15,2
Cv5786_16,2
Cv5786_17,2
Cv5786_18,2
Cv5786_19,2
Cv5786_20,2
Cv5786_21,2
Cv5786_22,2
Cv5786_23,2
Cv5786_24,2
Cv5786_25,2
Cv5786_26,2
Cv5786_27,2
Cv5786_28,2
Cv5786_29,2
Cv5786_30,2
FI1012_001,2
FI1012_002,2
FI1012_003,2
FI1012_004,2
FI1012_005,2
FI1012_006,2
FI1012_007,2
FI1012_008,2
FI1012_009,2
FI1012_010,2
FI1012_011,2
FI1012_012,2
FI1012_013,2
FI1012_014,2
FI1012_015,2
FI1012_016,2
FI1012_017,2
FI1012_019,2
FI1012_020,2
FI1012_021,2
FIS1013a_001,2
FIS1013a_002,2
FIS1013a_003,2
FIS1013a_004,2
FIS1013a_005,2
FIS1013a_006,2
FIS1013a_007,2
FIS1013a_008,2
FIS1013a_009,2
FIS1013a_010,2
FIS1013a_011,2
FIS1013a_012,2
FIS1013a_013,2
FIS1013a_014,2
FIS1013a_015,2
FIS1013a_016,2
FIS1013a_017,2
FIS1013a_018,2
FIS1013a_019,2
FIS1013a_020,2
FIS1013a_021,2
FIS1013a_022,2
FIS1013a_023,2
FIS1013a_024,2
FIS1013a_025,2
FIS1013a_026,2
FIS1013a_027,2
FIS1013a_028,2
FIS1013a_029,2
FIS1013a_030,2
UMFS-1,2
UMFS-19,2
UMFS-31,2
UMFS-2,2
UMFS-10,2
UMFS-20,2
UMFS-32,2
UMFS-3,2
UMFS-11,2
UMFS-21,2
UMFS-33,2
UMFS-4,2
UMFS-22,2
UMFS-34,2
UMFS-5,2
UMFS-13,2
UMFS-23,2
UMFS-35,2
UMFS-6,2
UMFS-14,2
UMFS-24,2
UMFS-36,2
UMFS-7,2
UMFS-15,2
UMFS-25,2
UMFS-37,2
UMFS-8,2
UMFS-16,2
UMFS-26,2
UMFS-38,2
NEH1-2,2
NEH1-11,2
NEH1-20,2
NEH1-29,2
NEH2-2,2
NEH2-10,2
NEH2-18,2
NEH2-26,2
NEH1-3,2
NEH1-12,2
NEH1-21,2
NEH1-30,2
NEH2-3,2
NEH2-11,2
NEH2-19,2
NEH2-27,2
NEH1-4,2
NEH1-13,2
NEH1-22,2
NEH1-31,2
NEH2-4,2
NEH2-12,2
NEH2-20,2
NEH2-28,2
NEH1-5,2
NEH1-14,2
NEH1-23,2
NEH1-32,2
NEH2-5,2
NEH2-13,2
NEH2-22,2
NEH2-29,2
NEH1-6,2
NEH1-15,2
NEH1-24,2
NEH1-33,2
NEH2-6,2
NEH2-14,2
NEH2-21,2
NEH2-30,2
NEH1-7,2
NEH1-16,2
NEH1-25,2
NEH1-34,2
NEH2-7,2
NEH2-15,2
NEH2-23,2
NEH2-31,2
NEH1-8,2
NEH1-17,2
NEH1-26,2
NEH1-35,2
NEH2-8,2
NEH2-16,2
NEH2-24,2
NEH2-32,2
NEH1-1,2
NEH1-10,2
NEH1-19,2
NEH1-28,2
NEH2-1,2
NEH2-9,2
NEH2-17,2
NEH2-25,2
KRB16_001,2
KRB16_002,2
KRB16_003,2
KRB16_004,2
KRB16_005,2
KRB16_006,2
KRB16_007,2
KRB16_008,2
KRB16_009,2
KRB16_010,2
KRB16_011,2
KRB16_012,2
KRB16_013,2
KRB16_014,2
KRB16_015,2
KRB16_016,2
KRB16_017,2
KRB16_018,2
KRB16_019,2
KRB16_020,2
KRB16_021,2
KRB16_022,2
KRB16_023,2
KRB16_024,2
KRB16_025,2
KRB16_026,2
KRB16_027,2
KRB16_028,2
KRB16_029,2
KRB16_030,2
KRP13_001,2
KRP13_002,2
KRP13_003,2
KRP13_004,2
KRP13_005,2
KRP13_006,2
KRP13_007,2
KRP13_008,2
KRP13_009,2
KRP13_010,2
KRP13_011,2
KRP13_012,2
KRP13_013,2
KRP13_014,2
KRP13_015,2
KRP13_016,2
KRP13_017,2
KRP13_018,2
KRP13_019,2
KRP13_020,2
KRP13_021,2
KRP13_022,2
KRP13_023,2
KRP13_024,2
KRP13_025,2
KRP13_026,2
KRP13_027,2
KRP13_028,2
KRP13_029,2
KRP13_030,2
