Grp	Pop	Loc	Type	N	He	Ho	Fis	Allelic Richness
AQ	AQ_1	AQ_1	na	50	0.266	0.277	0.067	1.569
AQ	AQ_2	AQ_2	na	30	0.291	0.286	0.069	1.569
AQ	AQ_3	AQ_3	na	64	0.294	0.285	-0.017	1.513
AQ	AQ_4	AQ_4	na	30	0.276	0.274	0.077	1.568
AQ	AQ_5	AQ_5	na	30	0.239	0.273	0.032	1.561
AQ	AQ_6	AQ_6	na	30	0.256	0.285	0.071	1.560
Wild	HH	HR	na	26	0.311	0.288	0.070	1.569
Wild	HRP	HR	na	24	0.309	0.285	0.064	1.571
Wild	SV	SV	Adult	58	0.313	0.290	0.062	1.554
Wild	TOC0423	TOC	Spat	52	0.313	0.290	0.020	1.524
Wild	TOC23a	TOC	Adult	32	0.313	0.292	0.074	1.568
Wild	GOO0423	GOO	Spat	43	0.314	0.292	0.069	1.569
Wild	GOO23a	GOO	Adult	37	0.313	0.293	0.077	1.568
Wild	NRH0423	NRH	Spat	42	0.313	0.289	0.061	1.569
Wild	LOP0423	LOP	Spat	54	0.313	0.288	0.064	1.571
Wild	SAB0423	SAB	Spat	49	0.313	0.290	0.082	1.568
Wild	HOR	HOR	Spat	23	0.313	0.293	0.081	1.569
Wild	ASC0423	ASC	Spat	50	0.314	0.293	0.068	1.570
Wild	ASC23a	ASC	Adult	36	0.312	0.291	0.078	1.568
Wild	LIW1	LIW1	Adult	31	0.311	0.292	0.061	1.569
Wild	SPT22s	SPT	Spat	124	0.314	0.289	0.079	1.569
Wild	STP23a	SPT	Adult	36	0.314	0.292	0.083	1.570
Wild	MIH0423	MIH	Spat	42	0.313	0.290	-0.112	1.432
Wild	MCK0423	MCK	Spat	37	0.314	0.289	0.070	1.570
Wild	QUR23a	QUR	Adult	28	0.313	0.293	0.068	1.569
Wild	EHF0523	EHR	Spat	49	0.314	0.294	0.023	1.526
Wild	EHF23a	EHR	Adult	40	0.313	0.292	0.023	1.499
Wild	Cv5785	Cv5785	Adult	30	0.314	0.292	0.080	1.570
Wild	JAC0523	JAC	Spat	49	0.314	0.295	0.072	1.569
Wild	JAC23a	JAC	Adult	35	0.315	0.291	0.071	1.569
Wild	HDC0523	HDC	Spat	49	0.314	0.295	-0.001	1.495
Wild	HDC23a	HDC	Adult	40	0.314	0.291	0.076	1.569
Wild	FEC0423	FEC	Spat	50	0.315	0.294	0.066	1.571
Wild	FEC23a	FEC	Adult	39	0.314	0.292	0.066	1.568
Wild	HAM0423	HAM	Spat	44	0.314	0.289	-0.069	1.464
Wild	BAK0423	BAK	Spat	54	0.314	0.290	0.068	1.567
Wild	LIW2	LIW2	Adult	30	0.314	0.294	0.074	1.561
Wild	YBD	YBD	Spat	32	0.313	0.288	0.065	1.569
