Pop	Ind	Location	Grp	Type
BAK0423	BAK0423_001s	BAK	CT	CT_spat
BAK0423	BAK0423_002s	BAK	CT	CT_spat
BAK0423	BAK0423_003s	BAK	CT	CT_spat
BAK0423	BAK0423_004s	BAK	CT	CT_spat
BAK0423	BAK0423_005s	BAK	CT	CT_spat
BAK0423	BAK0423_006s	BAK	CT	CT_spat
BAK0423	BAK0423_007s	BAK	CT	CT_spat
BAK0423	BAK0423_008s	BAK	CT	CT_spat
BAK0423	BAK0423_009s	BAK	CT	CT_spat
BAK0423	BAK0423_010s	BAK	CT	CT_spat
BAK0423	BAK0423_011s	BAK	CT	CT_spat
BAK0423	BAK0423_012s	BAK	CT	CT_spat
BAK0423	BAK0423_013s	BAK	CT	CT_spat
BAK0423	BAK0423_014s	BAK	CT	CT_spat
BAK0423	BAK0423_015s	BAK	CT	CT_spat
BAK0423	BAK0423_016s	BAK	CT	CT_spat
BAK0423	BAK0423_018s	BAK	CT	CT_spat
BAK0423	BAK0423_019s	BAK	CT	CT_spat
BAK0423	BAK0423_020s	BAK	CT	CT_spat
BAK0423	BAK0423_021s	BAK	CT	CT_spat
BAK0423	BAK0423_022s	BAK	CT	CT_spat
BAK0423	BAK0423_023s	BAK	CT	CT_spat
BAK0423	BAK0423_024s	BAK	CT	CT_spat
BAK0423	BAK0423_025s	BAK	CT	CT_spat
BAK0423	BAK0423_026s	BAK	CT	CT_spat
BAK0423	BAK0423_027s	BAK	CT	CT_spat
BAK0423	BAK0423_028s	BAK	CT	CT_spat
BAK0423	BAK0423_029s	BAK	CT	CT_spat
BAK0423	BAK0423_030s	BAK	CT	CT_spat
BAK0423	BAK0423_031s	BAK	CT	CT_spat
BAK0423	BAK0423_032s	BAK	CT	CT_spat
BAK0423	BAK0423_033s	BAK	CT	CT_spat
BAK0423	BAK0423_034s	BAK	CT	CT_spat
BAK0423	BAK0423_035s	BAK	CT	CT_spat
BAK0423	BAK0423_036s	BAK	CT	CT_spat
BAK0423	BAK0423_037s	BAK	CT	CT_spat
BAK0423	BAK0423_038s	BAK	CT	CT_spat
BAK0423	BAK0423_039s	BAK	CT	CT_spat
BAK0423	BAK0423_040s	BAK	CT	CT_spat
BAK0423	BAK0423_041s	BAK	CT	CT_spat
BAK0423	BAK0423_042s	BAK	CT	CT_spat
BAK0423	BAK0423_043s	BAK	CT	CT_spat
BAK0423	BAK0423_044s	BAK	CT	CT_spat
BAK0423	BAK0423_045s	BAK	CT	CT_spat
BAK0423	BAK0423_046s	BAK	CT	CT_spat
BAK0423	BAK0423_047s	BAK	CT	CT_spat
BAK0423	BAK0423_048s	BAK	CT	CT_spat
BAK0423	BAK0423_049s	BAK	CT	CT_spat
BAK0423	BAK0423_050s	BAK	CT	CT_spat
BAK0423	BAK0423_051s	BAK	CT	CT_spat
BAK0423	BAK0423_052s	BAK	CT	CT_spat
BAK0423	BAK0423_053s	BAK	CT	CT_spat
BAK0423	BAK0423_054s	BAK	CT	CT_spat
BAK0423	BAK0423_055s	BAK	CT	CT_spat
Cv5785	Cv5785_01	Cv5785	CT	CT_adult
Cv5785	Cv5785_02	Cv5785	CT	CT_adult
Cv5785	Cv5785_03	Cv5785	CT	CT_adult
Cv5785	Cv5785_04	Cv5785	CT	CT_adult
Cv5785	Cv5785_05	Cv5785	CT	CT_adult
Cv5785	Cv5785_06	Cv5785	CT	CT_adult
Cv5785	Cv5785_07	Cv5785	CT	CT_adult
Cv5785	Cv5785_08	Cv5785	CT	CT_adult
Cv5785	Cv5785_09	Cv5785	CT	CT_adult
Cv5785	Cv5785_10	Cv5785	CT	CT_adult
Cv5785	Cv5785_11	Cv5785	CT	CT_adult
Cv5785	Cv5785_12	Cv5785	CT	CT_adult
Cv5785	Cv5785_13	Cv5785	CT	CT_adult
Cv5785	Cv5785_14	Cv5785	CT	CT_adult
Cv5785	Cv5785_15	Cv5785	CT	CT_adult
Cv5785	Cv5785_16	Cv5785	CT	CT_adult
Cv5785	Cv5785_17	Cv5785	CT	CT_adult
Cv5785	Cv5785_18	Cv5785	CT	CT_adult
Cv5785	Cv5785_19	Cv5785	CT	CT_adult
Cv5785	Cv5785_20	Cv5785	CT	CT_adult
Cv5785	Cv5785_21	Cv5785	CT	CT_adult
Cv5785	Cv5785_22	Cv5785	CT	CT_adult
Cv5785	Cv5785_23	Cv5785	CT	CT_adult
Cv5785	Cv5785_24	Cv5785	CT	CT_adult
Cv5785	Cv5785_25	Cv5785	CT	CT_adult
Cv5785	Cv5785_26	Cv5785	CT	CT_adult
Cv5785	Cv5785_27	Cv5785	CT	CT_adult
Cv5785	Cv5785_28	Cv5785	CT	CT_adult
Cv5785	Cv5785_29	Cv5785	CT	CT_adult
Cv5785	Cv5785_30	Cv5785	CT	CT_adult
Cv5786	Cv5786_01	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_02	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_03	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_04	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_05	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_06	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_07	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_08	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_09	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_10	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_11	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_12	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_13	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_14	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_15	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_16	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_17	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_18	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_19	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_20	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_21	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_22	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_23	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_24	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_25	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_26	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_27	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_28	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_29	AQ_2	AQ_2	AQ_2
Cv5786	Cv5786_30	AQ_2	AQ_2	AQ_2
FI1012	FI1012_001	AQ_1	AQ_1	AQ_1
FI1012	FI1012_002	AQ_1	AQ_1	AQ_1
FI1012	FI1012_003	AQ_1	AQ_1	AQ_1
FI1012	FI1012_004	AQ_1	AQ_1	AQ_1
FI1012	FI1012_005	AQ_1	AQ_1	AQ_1
FI1012	FI1012_006	AQ_1	AQ_1	AQ_1
FI1012	FI1012_007	AQ_1	AQ_1	AQ_1
FI1012	FI1012_008	AQ_1	AQ_1	AQ_1
FI1012	FI1012_009	AQ_1	AQ_1	AQ_1
FI1012	FI1012_010	AQ_1	AQ_1	AQ_1
FI1012	FI1012_011	AQ_1	AQ_1	AQ_1
FI1012	FI1012_012	AQ_1	AQ_1	AQ_1
FI1012	FI1012_013	AQ_1	AQ_1	AQ_1
FI1012	FI1012_014	AQ_1	AQ_1	AQ_1
FI1012	FI1012_015	AQ_1	AQ_1	AQ_1
FI1012	FI1012_016	AQ_1	AQ_1	AQ_1
FI1012	FI1012_017	AQ_1	AQ_1	AQ_1
FI1012	FI1012_019	AQ_1	AQ_1	AQ_1
FI1012	FI1012_020	AQ_1	AQ_1	AQ_1
FI1012	FI1012_021	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_001	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_002	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_003	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_004	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_005	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_006	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_007	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_008	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_009	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_010	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_011	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_012	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_013	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_014	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_015	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_016	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_017	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_018	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_019	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_020	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_021	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_022	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_023	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_024	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_025	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_026	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_027	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_028	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_029	AQ_1	AQ_1	AQ_1
FIS1013a	FIS1013a_030	AQ_1	AQ_1	AQ_1
GOO0423	GOO0423_001s	GOO	CT	CT_spat
GOO0423	GOO0423_002s	GOO	CT	CT_spat
GOO0423	GOO0423_003s	GOO	CT	CT_spat
GOO0423	GOO0423_004s	GOO	CT	CT_spat
GOO0423	GOO0423_006s	GOO	CT	CT_spat
GOO0423	GOO0423_007s	GOO	CT	CT_spat
GOO0423	GOO0423_008s	GOO	CT	CT_spat
GOO0423	GOO0423_009s	GOO	CT	CT_spat
GOO0423	GOO0423_010s	GOO	CT	CT_spat
GOO0423	GOO0423_011s	GOO	CT	CT_spat
GOO0423	GOO0423_012s	GOO	CT	CT_spat
GOO0423	GOO0423_013s	GOO	CT	CT_spat
GOO0423	GOO0423_014s	GOO	CT	CT_spat
GOO0423	GOO0423_015s	GOO	CT	CT_spat
GOO0423	GOO0423_016s	GOO	CT	CT_spat
GOO0423	GOO0423_018s	GOO	CT	CT_spat
GOO0423	GOO0423_019s	GOO	CT	CT_spat
GOO0423	GOO0423_020s	GOO	CT	CT_spat
GOO0423	GOO0423_021s	GOO	CT	CT_spat
GOO0423	GOO0423_022s	GOO	CT	CT_spat
GOO0423	GOO0423_023s	GOO	CT	CT_spat
GOO0423	GOO0423_024s	GOO	CT	CT_spat
GOO0423	GOO0423_025s	GOO	CT	CT_spat
GOO0423	GOO0423_026s	GOO	CT	CT_spat
GOO0423	GOO0423_027s	GOO	CT	CT_spat
GOO0423	GOO0423_028s	GOO	CT	CT_spat
GOO0423	GOO0423_029s	GOO	CT	CT_spat
GOO0423	GOO0423_030s	GOO	CT	CT_spat
GOO0423	GOO0423_031s	GOO	CT	CT_spat
GOO0423	GOO0423_032s	GOO	CT	CT_spat
GOO0423	GOO0423_033s	GOO	CT	CT_spat
GOO0423	GOO0423_034s	GOO	CT	CT_spat
GOO0423	GOO0423_035s	GOO	CT	CT_spat
GOO0423	GOO0423_036s	GOO	CT	CT_spat
GOO0423	GOO0423_037s	GOO	CT	CT_spat
GOO0423	GOO0423_038s	GOO	CT	CT_spat
GOO0423	GOO0423_039s	GOO	CT	CT_spat
GOO0423	GOO0423_040s	GOO	CT	CT_spat
GOO0423	GOO0423_041s	GOO	CT	CT_spat
GOO0423	GOO0423_042s	GOO	CT	CT_spat
GOO0423	GOO0423_043s	GOO	CT	CT_spat
GOO0423	GOO0423_044s	GOO	CT	CT_spat
GOO0423	GOO0423_045s	GOO	CT	CT_spat
HAM0423	HAM0423_001s	HAM	CT	CT_spat
HAM0423	HAM0423_002s	HAM	CT	CT_spat
HAM0423	HAM0423_003s	HAM	CT	CT_spat
HAM0423	HAM0423_004s	HAM	CT	CT_spat
HAM0423	HAM0423_005s	HAM	CT	CT_spat
HAM0423	HAM0423_006s	HAM	CT	CT_spat
HAM0423	HAM0423_007s	HAM	CT	CT_spat
HAM0423	HAM0423_008s	HAM	CT	CT_spat
HAM0423	HAM0423_009s	HAM	CT	CT_spat
HAM0423	HAM0423_010s	HAM	CT	CT_spat
HAM0423	HAM0423_011s	HAM	CT	CT_spat
HAM0423	HAM0423_012s	HAM	CT	CT_spat
HAM0423	HAM0423_013s	HAM	CT	CT_spat
HAM0423	HAM0423_014s	HAM	CT	CT_spat
HAM0423	HAM0423_015s	HAM	CT	CT_spat
HAM0423	HAM0423_016s	HAM	CT	CT_spat
HAM0423	HAM0423_017s	HAM	CT	CT_spat
HAM0423	HAM0423_018s	HAM	CT	CT_spat
HAM0423	HAM0423_019s	HAM	CT	CT_spat
HAM0423	HAM0423_020s	HAM	CT	CT_spat
HAM0423	HAM0423_021s	HAM	CT	CT_spat
HAM0423	HAM0423_022s	HAM	CT	CT_spat
HAM0423	HAM0423_023s	HAM	CT	CT_spat
HAM0423	HAM0423_024s	HAM	CT	CT_spat
HAM0423	HAM0423_025s	HAM	CT	CT_spat
HAM0423	HAM0423_026s	HAM	CT	CT_spat
HAM0423	HAM0423_027s	HAM	CT	CT_spat
HAM0423	HAM0423_028s	HAM	CT	CT_spat
HAM0423	HAM0423_029s	HAM	CT	CT_spat
HAM0423	HAM0423_030s	HAM	CT	CT_spat
HAM0423	HAM0423_031s	HAM	CT	CT_spat
HAM0423	HAM0423_032s	HAM	CT	CT_spat
HAM0423	HAM0423_033s	HAM	CT	CT_spat
HAM0423	HAM0423_034s	HAM	CT	CT_spat
HAM0423	HAM0423_035s	HAM	CT	CT_spat
HAM0423	HAM0423_036s	HAM	CT	CT_spat
HAM0423	HAM0423_037s	HAM	CT	CT_spat
HAM0423	HAM0423_038s	HAM	CT	CT_spat
HAM0423	HAM0423_039s	HAM	CT	CT_spat
HAM0423	HAM0423_040s	HAM	CT	CT_spat
HAM0423	HAM0423_041s	HAM	CT	CT_spat
HAM0423	HAM0423_042s	HAM	CT	CT_spat
HAM0423	HAM0423_043s	HAM	CT	CT_spat
HAM0423	HAM0423_044s	HAM	CT	CT_spat
HH1013a	HH1013a_003	Hudson	Hudson	Hudson
HH1013a	HH1013a_009	Hudson	Hudson	Hudson
HH1013a	HH1013a_010	Hudson	Hudson	Hudson
HH1013a	HH1013a_017	Hudson	Hudson	Hudson
HH1013s	HH1013s_002	Hudson	Hudson	Hudson
HH1013s	HH1013s_003	Hudson	Hudson	Hudson
HH1013s	HH1013s_004	Hudson	Hudson	Hudson
HH1013s	HH1013s_005	Hudson	Hudson	Hudson
HH1013s	HH1013s_006	Hudson	Hudson	Hudson
HH1013s	HH1013s_007	Hudson	Hudson	Hudson
HH1013s	HH1013s_009	Hudson	Hudson	Hudson
HH1013s	HH1013s_010	Hudson	Hudson	Hudson
HH1013s	HH1013s_013	Hudson	Hudson	Hudson
HH1013s	HH1013s_014	Hudson	Hudson	Hudson
HH1013s	HH1013s_016	Hudson	Hudson	Hudson
HH1013s	HH1013s_018	Hudson	Hudson	Hudson
HH1013s	HH1013s_019	Hudson	Hudson	Hudson
HH1013s	HH1013s_020	Hudson	Hudson	Hudson
HH1013s	HH1013s_021	Hudson	Hudson	Hudson
HH1013s	HH1013s_022	Hudson	Hudson	Hudson
HH1013s	HH1013s_024	Hudson	Hudson	Hudson
HH1013s	HH1013s_028	Hudson	Hudson	Hudson
HH1013s	HH1013s_029	Hudson	Hudson	Hudson
HH1013s	HH1013s_030	Hudson	Hudson	Hudson
HH1013s	HH1013s_031	Hudson	Hudson	Hudson
HH1013s	HH1013s_033	Hudson	Hudson	Hudson
HRP22	HRP22_001	Hudson	Hudson	Hudson
HRP22	HRP22_002	Hudson	Hudson	Hudson
HRP22	HRP22_003	Hudson	Hudson	Hudson
HRP22	HRP22_004	Hudson	Hudson	Hudson
HRP22	HRP22_005	Hudson	Hudson	Hudson
HRP22	HRP22_006	Hudson	Hudson	Hudson
HRP22	HRP22_007	Hudson	Hudson	Hudson
HRP22	HRP22_008	Hudson	Hudson	Hudson
HRP22	HRP22_009	Hudson	Hudson	Hudson
HRP22	HRP22_010	Hudson	Hudson	Hudson
HRP22	HRP22_011	Hudson	Hudson	Hudson
HRP22	HRP22_012	Hudson	Hudson	Hudson
HRP22	HRP22_013	Hudson	Hudson	Hudson
HRP22	HRP22_014	Hudson	Hudson	Hudson
HRP22	HRP22_016	Hudson	Hudson	Hudson
HRP22	HRP22_017	Hudson	Hudson	Hudson
HRP22	HRP22_018	Hudson	Hudson	Hudson
HRP22	HRP22_019	Hudson	Hudson	Hudson
HRP22	HRP22_020	Hudson	Hudson	Hudson
HRP22	HRP22_021	Hudson	Hudson	Hudson
HRP22	HRP22_022	Hudson	Hudson	Hudson
HRP22	HRP22_023	Hudson	Hudson	Hudson
HRP22	HRP22_024	Hudson	Hudson	Hudson
HRP22	HRP22_026	Hudson	Hudson	Hudson
LOP0423	LOP0423_001s	LOP	CT	CT_spat
