# This document produced by structureHarvester core version vA.2 July 2014
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vA.2 July 2014
# File generated at 2025-Jul-24 05:23:46 EDT
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
2	10	-15380374.050000	50.334200
3	10	-15304010.380000	112.038553
4	10	-15253304.440000	1886.019896
5	10	-53378848.000000	51968844.739044
6	10	-15215179.710000	52937.646957
7	10	-66985493.830000	68292090.002450
8	10	-107983605.250000	82743811.848163
9	10	-76268635.710000	59400441.378357
10	10	-65563969.440000	55259775.809083

##########
# File name	Run #	K	Est. Ln prob. of data	Mean value of Ln likelihood	Variance of Ln likelihood
str_K8_rep10_f		8	-15202782.2	-15128351.1	148862.2
str_K8_rep9_f		8	-32923305.6	-15119739.7	35607131.8
str_K8_rep7_f		8	-159171431.1	-15154661.6	288033539.0
str_K8_rep8_f		8	-15156588.2	-15127004.9	59166.6
str_K8_rep4_f		8	-176346305.8	-15140141.3	322412329.0
str_K8_rep6_f		8	-15210654.3	-15165691.6	89925.5
str_K8_rep3_f		8	-180249556.9	-15140164.8	330218784.2
str_K8_rep5_f		8	-95075621.9	-15132180.4	159886883.0
str_K8_rep2_f		8	-161788054.2	-15140550.8	293295006.9
str_K8_rep1_f		8	-228711752.3	-15146119.2	427131266.1
str_K9_rep3_f		9	-29154340.6	-15114319.2	28080042.7
str_K9_rep2_f		9	-93502354.9	-15125137.5	156754434.9
str_K9_rep4_f		9	-96470704.6	-15121980.9	162697447.3
str_K9_rep9_f		9	-40180476.3	-15111505.5	50137941.7
str_K9_rep10_f		9	-15868076.5	-15109009.7	1518133.7
str_K9_rep6_f		9	-35663336.5	-15114218.2	41098236.6
str_K9_rep8_f		9	-117135171.6	-15115694.4	204038954.6
str_K9_rep5_f		9	-49047251.7	-15115068.2	67864367.2
str_K9_rep7_f		9	-68808910.0	-15117990.6	107381838.6
str_K9_rep1_f		9	-216855734.4	-15125394.4	403460680.0
