Pop	Ind	Batch	Location	Grp	Type
BAK0423	BAK0423_001s	C	BAK	CT	CT_spat
BAK0423	BAK0423_002s	C	BAK	CT	CT_spat
BAK0423	BAK0423_003s	C	BAK	CT	CT_spat
BAK0423	BAK0423_004s	C	BAK	CT	CT_spat
BAK0423	BAK0423_005s	C	BAK	CT	CT_spat
BAK0423	BAK0423_006s	C	BAK	CT	CT_spat
BAK0423	BAK0423_007s	C	BAK	CT	CT_spat
BAK0423	BAK0423_008s	C	BAK	CT	CT_spat
BAK0423	BAK0423_009s	C	BAK	CT	CT_spat
BAK0423	BAK0423_010s	C	BAK	CT	CT_spat
BAK0423	BAK0423_011s	C	BAK	CT	CT_spat
BAK0423	BAK0423_012s	C	BAK	CT	CT_spat
BAK0423	BAK0423_013s	C	BAK	CT	CT_spat
BAK0423	BAK0423_014s	C	BAK	CT	CT_spat
BAK0423	BAK0423_015s	C	BAK	CT	CT_spat
BAK0423	BAK0423_016s	C	BAK	CT	CT_spat
BAK0423	BAK0423_018s	C	BAK	CT	CT_spat
BAK0423	BAK0423_019s	C	BAK	CT	CT_spat
BAK0423	BAK0423_020s	C	BAK	CT	CT_spat
BAK0423	BAK0423_021s	C	BAK	CT	CT_spat
BAK0423	BAK0423_022s	C	BAK	CT	CT_spat
BAK0423	BAK0423_023s	C	BAK	CT	CT_spat
BAK0423	BAK0423_024s	C	BAK	CT	CT_spat
BAK0423	BAK0423_025s	C	BAK	CT	CT_spat
BAK0423	BAK0423_026s	C	BAK	CT	CT_spat
BAK0423	BAK0423_027s	C	BAK	CT	CT_spat
BAK0423	BAK0423_028s	C	BAK	CT	CT_spat
BAK0423	BAK0423_029s	C	BAK	CT	CT_spat
BAK0423	BAK0423_030s	C	BAK	CT	CT_spat
BAK0423	BAK0423_031s	C	BAK	CT	CT_spat
BAK0423	BAK0423_032s	C	BAK	CT	CT_spat
BAK0423	BAK0423_033s	C	BAK	CT	CT_spat
BAK0423	BAK0423_034s	C	BAK	CT	CT_spat
BAK0423	BAK0423_035s	C	BAK	CT	CT_spat
BAK0423	BAK0423_036s	C	BAK	CT	CT_spat
BAK0423	BAK0423_037s	C	BAK	CT	CT_spat
BAK0423	BAK0423_038s	C	BAK	CT	CT_spat
BAK0423	BAK0423_039s	C	BAK	CT	CT_spat
BAK0423	BAK0423_040s	C	BAK	CT	CT_spat
BAK0423	BAK0423_041s	C	BAK	CT	CT_spat
BAK0423	BAK0423_042s	C	BAK	CT	CT_spat
BAK0423	BAK0423_043s	C	BAK	CT	CT_spat
BAK0423	BAK0423_044s	C	BAK	CT	CT_spat
BAK0423	BAK0423_045s	C	BAK	CT	CT_spat
BAK0423	BAK0423_046s	C	BAK	CT	CT_spat
BAK0423	BAK0423_047s	C	BAK	CT	CT_spat
BAK0423	BAK0423_048s	C	BAK	CT	CT_spat
BAK0423	BAK0423_049s	C	BAK	CT	CT_spat
BAK0423	BAK0423_050s	C	BAK	CT	CT_spat
BAK0423	BAK0423_051s	C	BAK	CT	CT_spat
BAK0423	BAK0423_052s	C	BAK	CT	CT_spat
BAK0423	BAK0423_053s	C	BAK	CT	CT_spat
BAK0423	BAK0423_054s	C	BAK	CT	CT_spat
BAK0423	BAK0423_055s	C	BAK	CT	CT_spat
Cv5785	Cv5785_01	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_02	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_03	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_04	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_05	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_06	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_07	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_08	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_09	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_10	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_11	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_12	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_13	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_14	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_15	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_16	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_17	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_18	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_19	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_20	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_21	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_22	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_23	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_24	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_25	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_26	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_27	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_28	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_29	C	Cv5785	CT	CT_adult
Cv5785	Cv5785_30	C	Cv5785	CT	CT_adult
AQ_2	Cv5786_01	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_02	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_03	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_04	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_05	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_06	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_07	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_08	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_09	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_10	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_11	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_12	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_13	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_14	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_15	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_16	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_17	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_18	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_19	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_20	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_21	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_22	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_23	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_24	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_25	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_26	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_27	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_28	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_29	C	AQ_2	AQ_2	AQ_2
AQ_2	Cv5786_30	C	AQ_2	AQ_2	AQ_2
AQ_1	FI1012_001	C	AQ_1	AQ_1	AQ_1
AQ_1	FI1012_002	C	AQ_1	AQ_1	AQ_1
AQ_1	FI1012_003	C	AQ_1	AQ_1	AQ_1
AQ_1	FI1012_004	C	AQ_1	AQ_1	AQ_1
